1612134591775, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 2, 0%, 17.98, 01/31/21, 06:09:51 PM EST
1612134591775, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0%, 4.78, 01/31/21, 06:09:51 PM EST
1612134630492, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 2, 0%, 17.98, 01/31/21, 06:10:30 PM EST
1612134630492, 23, "Tamiya 2oz paint - ferrari red", 2.39, 3, 0%, 7.17, 01/31/21, 06:10:30 PM EST
1612134842629, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 22, 20%, 158.224, 01/31/21, 06:14:02 PM EST
1612134842629, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0%, 4.78, 01/31/21, 06:14:02 PM EST
1612135041203, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 23, 20%, 165.416, 01/31/21, 06:17:21 PM EST
1612135041203, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0%, 4.78, 01/31/21, 06:17:21 PM EST
1612135157840, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 23, 20%, 165.416, 01/31/21, 06:19:17 PM EST
1612135296957, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 1, 0%, 8.99, 01/31/21, 06:21:36 PM EST
1612136052269, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 2, 0%, 17.98, 01/31/21, 06:34:12 PM EST
1612136052269, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0%, 4.78, 01/31/21, 06:34:12 PM EST
1612136218605, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 1, 0%, 8.99, 01/31/21, 06:36:58 PM EST
1612136218605, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0%, 4.78, 01/31/21, 06:36:58 PM EST
1612146925289, 8543, "Ritchey 1 inch threaded headset - silver", 45.0, 2, 0%, 90.0, 01/31/21, 09:35:25 PM EST
1612146925289, 4762, "HP copy paper ultra white - ream", 13.5, 2, 0%, 27.0, 01/31/21, 09:35:25 PM EST
1612146925289, 245667, "Colnago jersey - size 6", 120.0, 2, 0%, 240.0, 01/31/21, 09:35:25 PM EST
